model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
Silero,193,IISc_VaaniProject_S_Bihar_Kishanganj_135145_12785857_BHVSAUR_228366_0_7825,0.9695712309820194,1.0,0.9845505617977528,0.9719029374201787,0.7317073170731707,0.030428769017980636,0.0
SpeechBrain,193,IISc_VaaniProject_S_Bihar_Kishanganj_135145_12785857_BHVSAUR_228366_0_7825,1.0,0.9728958630527818,0.9862617498192335,0.9757343550446999,1.0,0.0,0.02710413694721826
Pyannote,194,IISc_VaaniProject_S_Bihar_Kishanganj_65546_9628494_BHBSINCG_127471_13813_20402,0.8377535101404057,1.0,0.9117147707979627,0.8387596899224806,0.037037037037037035,0.1622464898595944,0.0
FunASR,194,IISc_VaaniProject_S_Bihar_Kishanganj_65546_9628494_BHBSINCG_127471_13813_20402,0.817351598173516,1.0,0.8994974874371859,0.817629179331307,0.008264462809917356,0.182648401826484,0.0
Silero,194,IISc_VaaniProject_S_Bihar_Kishanganj_65546_9628494_BHBSINCG_127471_13813_20402,0.8523809523809524,1.0,0.9203084832904884,0.8533123028391167,0.041237113402061855,0.14761904761904762,0.0
SpeechBrain,194,IISc_VaaniProject_S_Bihar_Kishanganj_65546_9628494_BHBSINCG_127471_13813_20402,0.9425493716337523,0.9776536312849162,0.9597806215722121,0.9323076923076923,0.7168141592920354,0.05745062836624776,0.0223463687150838
Pyannote,195,IISc_VaaniProject_S_Bihar_Kishanganj_67281_9700990_BHARBU_352083_7172_19035,0.8285472972972973,1.0,0.9062355658198614,0.8291245791245792,0.01932367149758454,0.17145270270270271,0.0
FunASR,195,IISc_VaaniProject_S_Bihar_Kishanganj_67281_9700990_BHARBU_352083_7172_19035,0.8268581081081081,0.9979612640163099,0.9043879907621247,0.8256107834877844,0.0048543689320388345,0.17314189189189189,0.0020387359836901123
Silero,195,IISc_VaaniProject_S_Bihar_Kishanganj_67281_9700990_BHARBU_352083_7172_19035,0.8957952468007313,0.9989806320081549,0.944578313253012,0.9031171019376579,0.44660194174757284,0.10420475319926874,0.0010193679918450561
SpeechBrain,195,IISc_VaaniProject_S_Bihar_Kishanganj_67281_9700990_BHARBU_352083_7172_19035,1.0,0.9694189602446484,0.984472049689441,0.974726200505476,1.0,0.0,0.03058103975535168
Pyannote,196,IISc_VaaniProject_S_Bihar_Kishanganj_96226_10903129_KTVEM_158236_0_8247,0.9185905224787363,0.9973614775725593,0.9563567362428842,0.9165659008464329,0.028985507246376812,0.08140947752126367,0.002638522427440633
FunASR,196,IISc_VaaniProject_S_Bihar_Kishanganj_96226_10903129_KTVEM_158236_0_8247,0.9198055893074119,0.9986807387862797,0.9576217583807717,0.9187878787878788,0.014925373134328358,0.08019441069258809,0.0013192612137203166
Silero,196,IISc_VaaniProject_S_Bihar_Kishanganj_96226_10903129_KTVEM_158236_0_8247,0.9199029126213593,1.0,0.9582806573957017,0.92,0.014925373134328358,0.08009708737864078,0.0
